"id","name","slug","abbrev","level","parent"
185,Peoria County,peoria-county,,l,168
186,Maricopa County,maricopa-county,,l,78
187,Anaheim,anaheim,,l,52
188,Goleta,goleta,,l,52
189,Keller,keller,,l,109
190,Dallas,dallas,,l,109
191,Glendora,glendora,,l,52
192,Kettering,kettering,,l,116
193,Snoqualmie,snoqualmie,,l,54
194,Lake County,lake-county,,l,34
195,Seminole County,seminole-county,,l,34
196,Orange County,orange-county-fl,,l,34
198,Jefferson County,jefferson-co,,l,116
199,Gadsden,gadsden,,l,159
200,Hays County,hays-county,,l,109
201,Mesa County,mesa-county,,l,127
202,Montgomery County,montgomery-county,,l,109
203,Otter Tail County,otter-tail-county,,l,156
204,Polk County,polk-county,,l,34
205,Lane County,lane-county,,l,158
206,Akron,akron,,l,116
207,Buffalo,buffalo,,l,16
208,Dayton,dayton,,l,116
209,Louisville,louisville,,l,147
210,Lancaster,lancaster,,l,52
211,Philadelphia,philadelphia,,l,126
212,Middlesex County,middlesex-county,,l,1
213,Bristol County,bristol-county,,l,1
214,Nantucket,nantucket,,l,1
215,Plymouth County,plymouth-county,,l,1
216,Dukes County,dukes,,l,1
217,Norfolk County,norfolk-county,,l,1
218,Beverly,beverly,,l,1
219,Marlborough,marlborough,,l,1
220,Palmer,palmer,,l,1
221,Taunton,taunton,,l,1
222,Washington Island,washington-island,,l,146
223,Upper Darby,upper-darby,,l,126
224,Petaluma,petaluma,,l,52
225,Fremont,fremont,,l,52
226,State College,state-college,,l,126
227,New Mexico,new-mexico,NM,s,10
228,Idaho,idaho,ID,s,10
229,New Jersey,new-jersey,NJ,s,10
230,Georgia,georgia,GA,s,10
231,Mississippi,mississippi,MS,s,10
232,North Dakota,north-dakota,ND,s,10
233,Louisiana,louisiana,LA,s,10
234,Utah,utah,UT,s,10
235,Alaska,alaska,AK,s,10
236,Delaware,delaware,DE,s,10
237,Canyon County,canyon-county,,l,228
238,Brunswick,brunswick,,l,230
239,North Andover,north-andover,,l,1
240,Pensacola,pensacola,,l,34
241,Escambia County,escambia-county,,l,34
242,Gilbert,gilbert,,l,78
243,Lake Villa,lake-villa,,l,168
244,Clackamas County,clackamas-county,,l,158
245,Hurst,hurst,,l,109
246,Iowa,iowa,IA,s,10
247,Hawaii,hawaii,HI,s,10
248,Oklahoma,oklahoma,OK,s,10
249,Ogden,ogden,,l,234
250,Orange County,orange-county-tx,,l,109
251,Everett,everett,,l,54
252,Abington,abington,,l,1
253,Barnstable,barnstable,,l,1
254,Braintree,braintree,,l,1
255,Burlington,burlington,,l,1
256,Chelmsford,chelmsford,,l,1
257,Quincy,quincy,,l,1
258,Springfield,springfield,,l,1
259,Concord,concord,,l,1
260,Danvers,danvers,,l,1
261,Fall River,fall-river,,l,1
262,Fitchburg,fitchburg,,l,1
263,Foxborough,foxborough,,l,1
264,Gloucester,gloucester,,l,1
265,Haverhill,haverhill,,l,1
266,Hingham,hingham,,l,1
267,Hull,hull,,l,1
268,Leicester,leicester,,l,1
269,Longmeadow,longmeadow,,l,1
270,Lowell,lowell,,l,1
271,Orange County,orange-county,,l,153
272,Malden,malden,,l,1
273,Mansfield,mansfield,,l,1
274,Middleton,middleton,,l,1
275,Natick,natick,,l,1
276,Peabody,peabody,,l,1
277,Pittsfield,pittsfield,,l,1
278,Plymouth,plymouth,,l,1
279,Randolph,randolph,,l,1
280,Reading,reading,,l,1
281,Revere,revere,,l,1
282,Shrewsbury,shrewsbury,,l,1
283,Scarsdale,scarsdale,,l,16
284,Tewksbury,tewksbury,,l,1
285,Kansas City,kansas-city,,l,111
286,Ann Arbor,ann-arbor,,l,117
287,Eastland County,eastland-county,,l,109
288,Erie County,erie-county,,l,16
289,Eden,eden,,l,16
290,Monroe County,monroe-county,,l,16
291,Long Beach,long-beach,,l,52
292,Concord,concord,,l,52
293,Lexington,lexington,,l,147
294,Chandler,chandler,,l,78
295,Berkeley,berkeley,,l,52
296,Novato,novato,,l,52
297,Suffolk County,suffolk-county,,l,16
298,Bethel Park,bethel-park,,l,126
299,Missouri,missouri,MO,s,10
300,Nebraska,nebraska,NE,s,10
301,Nevada,nevada,NV,s,10
