"id","name","slug","status","exempt","requires_proxy","jurisdiction","parent","appeal_agency"
5583,Colorado State Patrol - 1033 and 1122 Program,colorado-state-patrol-1033-and-1122-program,approved,False,False,127,,
23640,Information Technology Services (its) Department,information-technology-services-its-department,approved,False,True,163,,
23681,Stafford Police Department,stafford-police-department,approved,False,False,2993,,
23751,Fire Department,fire-department,approved,False,False,107,,
5567,Department of Community & Economic Development,department-of-community-economic-development,approved,False,False,126,,
23662,Franklin Police Department,franklin-police-department,approved,False,True,30595,,
9775,City Clerk's Office - Vital Records Department,city-clerks-office-vital-records-department,approved,False,False,207,,
5569,Governor's Office of Economic Development,governors-office-of-economic-development,approved,False,False,303,,
6162,District Attorney's Office,district-attorneys-office,approved,False,False,7336,,
23713,Grays Harbor Communications,grays-harbor-communications,approved,False,False,8275,,
23714,San Jose State University,san-jose-state-university,approved,False,False,336,,
23715,Lexington City Manager,lexington-city-manager,approved,False,False,128,,
42760,Los Alamos National Laboratory,los-alamos-national-laboratory,approved,False,False,227,,
6154,Allegheny County District Attorney's Office,allegheny-county-district-attorneys-office,approved,False,False,306,,
10699,James Madison University,james-madison-university,approved,False,True,128,,
14469,Owyhee County Sheriff's Office,owyhee-county-sheriffs-office,approved,False,False,10686,,
5546,Florida Department of Law Enforcement - Expunge Section,florida-department-of-law-enforcement-expunge-section,approved,False,False,34,,
4921,Health and Human Services Agency - California,health-and-human-services-agency-california,approved,False,False,52,,
23572,Baltimore City Information & Technology,baltimore-city-information-technology,approved,False,False,315,,
38583,Butler County Department Of Emergency Services,butler-county-department-of-emergency-services,approved,False,False,27548,,
7091,"City of Knoxville, Mayor's Office",city-knoxville-mayors-office,approved,False,True,30436,,
23641,Water Services,water-services,approved,False,False,286,,
6178,Suffolk County District Attorney's Office,suffolk-county-district-attorneys-office,approved,False,False,297,,
23594,Detroit Department Of Transportation,detroit-department-of-transportation,approved,False,False,314,,
38579,Butler Township Police Department,butler-township-police-department,approved,False,False,27548,,
6202,Savannah-Chatham Metropolitan Police Department,savannah-chatham-metropolitan-police-department,approved,False,False,5405,,
23576,Public Works Department,public-works-department,approved,False,False,139,,
23734,Pasadena Public Health Department,pasadena-public-health-department,approved,False,False,3368,,
6232,White County Clerk's Office,white-county-clerks-office,approved,False,False,12300,,
6214,Purchasing Division,purchasing-division,approved,False,False,7138,,
23749,Santa Clara Valley Transportation Authority,santa-clara-valley-transportation-authority,approved,False,False,336,,
23701,Psychiatric Emergency Screening Service (p.e.s.s.) At Monmouth Medical Center,psychiatric-emergency-screening-service-pess-at-monmouth-medical-center,approved,False,False,7011,,
31092,Texas Commision Of Law Enforcement,texas-commision-of-law-enforcement,approved,False,False,139,,
42246,Division of Occupational Licensure & Office of Public Safety and Inspections,dplraostatemaus,approved,False,False,1,,
31086,Air Academy School District 20,air-academy-school-district-20,approved,False,False,10,,
9776,City Clerk's Office - Vital Records Department,city-clerks-office-vital-records-department,approved,False,False,720,,
42592,City of Williamstown City Clerk/Treasurer,city-of-williamstown-city-clerktreasurer,approved,False,False,32370,,
62,Department of Transportation,department-of-transportation,approved,False,False,10,,
23646,Public Works Department,public-works-department,approved,False,False,190,,
3951,North Carolina Wildlife Resources Commission,north-carolina-wildlife-resources-commission,approved,False,False,153,,
37440,Lyons Township Area Communication Center In La Grange Park,lyons-township-area-communication-center-in-la-grange-park,approved,False,False,8022,,
38584,Thorp Wi,thorp-wi,approved,False,False,8807,,
23718,Greenfield School Department,greenfield-public-schools,approved,False,False,529,,
23595,Public Works,public-works,approved,False,False,331,,
121,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,approved,False,False,10,,7062
23767,Orange County Property Appraiser,orange-county-property-appraiser-200-s-orange-avenue-suite-1700-orlando-fl-32801,approved,False,False,123,,
3141,"Army, Assistant Secretary for Acquisition, Logistics, and Technology",army-assistant-secretary-acquisition-logistics-and-technology,approved,False,False,10,,
23647,Office Of Sustainability & Environment,office-of-sustainability-environment,approved,False,False,69,,
12102,Newark Police Department,newark-police-department-de,approved,False,False,4674,,
23664,Napa Special Investigations Bureau,napa-special-investigations-bureau,approved,False,False,3054,,
23729,Durham Social Services,department-social-services,approved,False,False,4165,,
9777,City Clerk's Office - Vital Records,city-clerks-office-vital-records-department,approved,False,False,22902,,
23573,Baltimore City Department Of Transportation,baltimore-city-department-of-transportation,approved,False,False,315,,
9881,"Department of Environmental Protection, Division of Mining and Reclamation",department-of-environmental-protection-division-of-mining-and-reclamation,approved,False,False,304,,
23686,Lake County Ohio Clerk Of Court,lake-county-ohio-clerk-of-court,approved,False,False,25172,,
2436,United States Chemical Safety and Hazard Investigation Board,united-states-chemical-safety-and-hazard-investigation-board,approved,False,False,10,,
4517,U.S. Army - Assistant Secretary of the Army (Financial Management and Comptroller),us-army-assistant-secretary-army-financial-management-and-comptroller,approved,False,False,10,,
23763,CAPITAL METROPOLITAN TRANSPORTATION AUTHORITY,capital-metro,approved,False,False,109,,
23744,"Drug Control Program, Department Of Public Health",drug-control-program-department-of-public-health,approved,False,False,1,,
10584,Washington Parish Government,washington-parish-government,approved,False,False,16126,,
23765,Office of The Special Narcotics Prosecutor,office-of-the-special-narcotics-prosecutor,approved,False,False,17,,
11420,Berks County Sheriff,berks-county-sheriff,approved,False,False,27261,,
23782,Townson University,townson-university,approved,False,False,154,,
23770,Charlotte Department Of Transportation,charlotte-department-of-transportation,approved,False,False,161,,
23775,San Gabriel Unified School District,san-gabriel-unified-school-district,approved,False,False,3417,,
23783,West Virgina Division Of Corrections,west-virgina-division-of-corrections,approved,False,False,32214,,
4631,"Department of Labor and Workforce Development, Division of Occupational Safety and Health (TN)",department-labor-and-workforce-development-division-occupational-safety-and-health-tn,approved,False,True,155,,
23577,Innovation Office,innovation-office,approved,False,False,139,,
6172,Summit County Prosecuting Attorney's Office,summit-county-prosecuting-attorneys-office,approved,False,False,25203,,
23774,Community Development,community-development,approved,False,False,3228,,
23785,Police Department,police-department,approved,False,False,25416,,
31090,Milwaukee County District Attorney,milwaukee-county-district-attorney,approved,False,False,8615,,
31089,Hartford County (ct) District Attorney,hartford-county-ct-district-attorney,approved,False,False,5517,,
23730,Durham County Attorney,durham-county-attorney,approved,False,False,153,,
31083,Johnston County Sheriff,johnston-county-sheriff,approved,False,False,26620,,
23746,"Office Of Emergency Medical Services, Department Of Public Health",office-of-emergency-medical-services-department-of-public-health,approved,False,False,1,,
23665,Forest Park Police Department,forest-park-police-department,approved,False,False,7818,,
38581,Beaver County District Attorney,beaver-county-district-attorney,approved,False,False,126,,
6138,"Immigration and Customs Enforcement, National Intellectual Property Rights Coordination Center",immigration-and-customs-enforcement-national-intellectual-property-rights-coordination-center,approved,False,False,10,,
23777,U.s. Army Chemical Materials Agency,us-army-chemical-materials-agency,approved,False,False,10,,
